title,rating,ratingLevel,release year,user rating score,user rating size,sceneDesc,kids_audience_fit,youth_audience_fit,adult_audience_fit,genre,country,imdbRating,imdbVotes,rating_num,type_cat,audience_segment_cat,type_movie,type_tv,type_unknown,audience_segment_Adults,audience_segment_Family,audience_segment_Kids,audience_segment_Teens
MerlÌ?,TV-PG,Parental guidance suggested. May not be suitable for all children.,2015,,82,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Amy Schumer: The Leather Special,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Louis C.K. 2017,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,71.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,94.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Almost Adults,NR,This movie has not been rated.,2016,,82,,0.0,0.4,1.0,,,,,0.0,unknown,Adults,False,False,True,True,False,False,False
The Brothers,R,Restricted. May be inappropriate for children 17 and under.,2001,,82,strong sexual content and language,0.0,0.4,1.0,"Comedy, Drama, Romance",United States,6.3,"5,147",5.1,movie,Adults,True,False,False,True,False,False,False
Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2013,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2012,88.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2012,59.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2013,73.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Come Fly With Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2010,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2014,63.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,86.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,91.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Dope,R,Restricted. May be inappropriate for children 17 and under.,2015,79.0,80,"language, drug content, sexuality/nudity, and some violence-all involving teens",0.0,0.4,1.0,"Adventure, Comedy, Crime",United States,7.2,"91,128",5.1,movie,Adults,True,False,False,True,False,False,False
The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,69.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
November Rule,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,58.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Kubo and the Two Strings,PG,Parental guidance suggested. May not be suitable for children.,2016,96.0,80,"thematic elements, scary images, action and peril",0.7,0.7,0.4,"Animation, Action, Adventure","United States, United Kingdom",7.7,"145,993",3.1,movie,Family,True,False,False,False,True,False,False
Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
A Weekend with the Family,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Crazyhead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Queen of Katwe,PG,Parental guidance suggested. May not be suitable for children.,2016,,81,"thematic elements, an accident scene and some suggestive material",0.7,0.7,0.4,"Biography, Drama, Sport",United States,7.4,"19,781",3.1,movie,Family,True,False,False,False,True,False,False
Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,61.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Deidra & Laney Rob a Train,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2017,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Hurricane Bianca,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Honeytrap,NR,This movie has not been rated.,2014,,82,,0.0,0.4,1.0,,,,,0.0,unknown,Adults,False,False,True,True,False,False,False
Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,62.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Lazy Eye,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Like Cotton Twines,NR,This movie has not been rated.,2016,,82,,0.0,0.4,1.0,,,,,0.0,unknown,Adults,False,False,True,True,False,False,False
The Wedding Party,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Boy Bye,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Nancy Drew,PG,Parental guidance suggested. May not be suitable for children.,2007,,82,,0.7,0.7,0.4,"Comedy, Crime, Family",United States,5.9,"22,391",3.1,movie,Family,True,False,False,False,True,False,False
Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2015,82.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,2014,,82,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2006,91.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2014,79.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Life Unexpected,TV-PG,Parental guidance suggested. May not be suitable for all children.,2010,55.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2014,58.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2013,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,80.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,2014,,82,,0.0,0.4,1.0,"Comedy, Drama",United States,5.7,"25,151",5.1,movie,Adults,True,False,False,True,False,False,False
Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,81.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,63.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Fried,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2015,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
The Great Gilly Hopkins,PG,Parental guidance suggested. May not be suitable for children.,2016,69.0,80,for thematic material and language,0.7,0.7,0.4,,,,,3.1,movie,Family,True,False,False,False,True,False,False
The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,89.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
One Day at a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,2017,,82,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Better Off Single,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,2016,79.0,80,,0.7,0.7,0.4,"Comedy, Romance",United States,5.6,"2,931",3.1,movie,Family,True,False,False,False,True,False,False
Tramps,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Slam,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
The Waterboy,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,1998,82.0,80,language and some crude sexual humor,0.2,1.0,0.6,"Comedy, Sport",United States,6.2,"189,980",4.1,movie,Teens,True,False,False,False,False,False,True
10 Things I Hate About You,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,1999,68.0,80,"adult content, adult language and mild violence",0.2,1.0,0.6,"Comedy, Drama, Romance",United States,7.4,"448,378",4.1,movie,Teens,True,False,False,False,False,False,True
Grease,PG,Parental guidance suggested. May not be suitable for children.,1978,86.0,80,,0.7,0.7,0.4,"Comedy, Musical, Romance",United States,7.2,"323,963",3.1,movie,Family,True,False,False,False,True,False,False
How to Lose a Guy in 10 Days,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,2003,56.0,80,some sex-related material,0.2,1.0,0.6,"Comedy, Romance","United States, Germany",6.5,"320,607",4.1,movie,Teens,True,False,False,False,False,False,True
The Benchwarmers,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,2006,77.0,80,"crude and suggestive humor, and for language",0.2,1.0,0.6,"Comedy, Sport",United States,5.6,"57,779",4.1,movie,Teens,True,False,False,False,False,False,True
Step Up,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,2006,64.0,80,"thematic elements, brief violence and innuendo",0.2,1.0,0.6,"Crime, Drama, Music",United States,6.5,"132,872",4.1,movie,Teens,True,False,False,False,False,False,True
High School Musical 2,TV-G,Suitable for all ages.,2007,58.0,80,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
Twilight,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,2008,89.0,80,some violence and one sexual scene,0.2,1.0,0.6,"Drama, Fantasy, Romance","United States, United Kingdom",5.4,"522,520",4.1,movie,Teens,True,False,False,False,False,False,True
Coraline,PG,Parental guidance suggested. May not be suitable for children.,2009,95.0,80,"thematic elements, scary images, some language and suggestive humor",0.7,0.7,0.4,"Animation, Drama, Family",United States,7.8,"297,596",3.1,movie,Family,True,False,False,False,True,False,False
Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,2009,56.0,80,,1.0,0.2,0.2,"Comedy, Drama, Family",United States,4.7,"47,336",1.1,movie,Kids,True,False,False,False,False,True,False
Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,2010,81.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
StarStruck,TV-G,Suitable for all ages.,2010,,82,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
Mean Girls 2,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,2011,,82,"For some rude and suggestive material, and for language.",0.2,1.0,0.6,"Comedy, Drama",United States,4.1,"27,202",4.1,movie,Teens,True,False,False,False,False,False,True
That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2005,89.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Heartland,TV-PG,Parental guidance suggested. May not be suitable for all children.,2015,85.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Switched at Birth,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,83.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,2014,81.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Safe Haven,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,2013,62.0,80,"thematic material involving threatening behavior, and for violence and sexuality",0.2,1.0,0.6,"Drama, Romance, Thriller",United States,6.7,"119,882",4.1,movie,Teens,True,False,False,False,False,False,True
The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,93.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,79.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Fuller House,TV-G,Suitable for all ages.,2016,90.0,80,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
Gilmore Girls: A Year in the Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,77.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Gabriel lglesias: I‰Ûªm Sorry For What I Said When I Was Hungry,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,84.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
The Wedding Planner,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,2001,,82,language and some sexual humor,0.2,1.0,0.6,"Comedy, Romance","Germany, United States",5.4,"90,779",4.1,movie,Teens,True,False,False,False,False,False,True
Blow,R,Restricted. May be inappropriate for children 17 and under.,2001,78.0,80,"pervasive drug content and language, some violence and sexuality",0.0,0.4,1.0,"Biography, Crime, Drama",United States,7.5,"286,529",5.1,movie,Adults,True,False,False,True,False,False,False
High School Musical,TV-G,Suitable for all ages.,2006,64.0,80,,1.0,0.2,0.2,,,,,1.2,tv,Kids,False,True,False,False,False,True,False
Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,97.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,97.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,97.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2013,61.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2012,88.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,2015,84.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,92.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Magic Mike,R,Restricted. May be inappropriate for children 17 and under.,2012,77.0,80,"pervasive sexual content, brief graphic nudity, language and some drug use",0.0,0.4,1.0,"Comedy, Drama, Music",United States,6.1,"152,203",5.1,movie,Adults,True,False,False,True,False,False,False
Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,2012,63.0,80,,0.2,1.0,0.6,"Drama, Romance, Sport",United States,6.8,"69,797",4.1,movie,Teens,True,False,False,False,False,False,True
Home,PG,Parental guidance suggested. May not be suitable for children.,2015,94.0,80,mild action and some rude humor,0.7,0.7,0.4,"Animation, Adventure, Comedy","United States, India",6.5,"120,478",3.1,movie,Family,True,False,False,False,True,False,False
Skin Wars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,69.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Felipe Neto: My Life Makes No Sense,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2017,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Lost,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2010,98.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2012,85.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
The Tudors,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2010,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2010,89.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Charmed,TV-PG,Parental guidance suggested. May not be suitable for all children.,2005,90.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,2014,93.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,91.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2014,73.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Unconditional,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,2012,,82,some violent content and mature thematic elements,0.2,1.0,0.6,"Biography, Crime, Drama",United States,7.0,"5,050",4.1,movie,Teens,True,False,False,False,False,False,True
The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,96.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,73.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Witches of East End,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2014,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,56.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
London Has Fallen,R,Restricted. May be inappropriate for children 17 and under.,2016,96.0,80,strong violence and language throughout,0.0,0.4,1.0,"Action, Thriller","United States, United Kingdom, Bulgaria, India",5.9,"179,714",5.1,movie,Adults,True,False,False,True,False,False,False
Marvel's Jessica Jones,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2015,83.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Bloodline,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Velvet,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
The Crown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,84.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Kurt Seyit & Sura,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2014,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
The Returned,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
