title,rating,ratingLevel,release year,user rating score,user rating size,sceneDesc,kids_audience_fit,youth_audience_fit,adult_audience_fit,genre,country,imdbRating,imdbVotes,rating_num,type_cat,audience_segment_cat,type_movie,type_tv,type_unknown,audience_segment_Adults,audience_segment_Family,audience_segment_Kids,audience_segment_Teens
The Girl in the Book,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2015,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,88.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
100 Metros,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Dexter,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2013,95.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
Leverage,TV-PG,Parental guidance suggested. May not be suitable for all children.,2012,86.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Burn Notice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2013,85.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Luther,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,69.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Hawaii Five-0,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,96.0,80,"dialogue, language, sexual situations and violence",0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Last Man Standing,TV-PG,Parental guidance suggested. May not be suitable for all children.,2015,97.0,80,,0.7,0.7,0.4,,,,,3.2,tv,Family,False,True,False,False,True,False,False
Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,93.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Touch,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2012,68.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Breakout Kings,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2012,88.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
The Following,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
"Drugs, Inc.",TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2015,,82,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Longmire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2016,92.0,80,,0.2,1.0,0.6,,,,,4.2,tv,Teens,False,True,False,False,False,False,True
Ripper Street,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,,82,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2016,61.0,80,,0.0,0.4,1.0,,,,,5.2,tv,Adults,False,True,False,True,False,False,False
